"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun May 16 23:33:20 YEKT 2021","Sun May 16 23:33:49 YEKT 2021","28559","","com.geekbrains.lesson6.LoginWithPageObjectTests","","com.geekbrains.lesson6.LoginWithPageObjectTests","createNewProject","createNewProject()",""
"passed","Sun May 16 23:32:55 YEKT 2021","Sun May 16 23:33:20 YEKT 2021","25375","","com.geekbrains.lesson6.LoginWithPageObjectTests","","com.geekbrains.lesson6.LoginWithPageObjectTests","createNewCompanyContactUser","createNewCompanyContactUser()",""
